OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,B00001e1,Total_Poverty_Status,Poverty_Under_5,Poverty_5to99,Poverty_1to124,Poverty_125to149,Poverty_150to184,Poverty_185to199,Poverty_over2,POV_UNDER_1,Means_Transport,Transport_Car_Total,Transport_Car_Drove_Alone,Transport_Carpooled,Transport_Carpooled_2p,Transport_Carpooled_3p,Transport_Carpooled_4p,Transport_Carpooled_5to6p,Transport_Carpooled_7p,Transport_Public_Trans_Total,Transport_PT_Bus,Transport_PT_Trolley,Transport_PT_Subway,Transport_PT_Railroad,Transport_PT_Ferry,Transport_Taxi,Transport_Motorcycle,Transport_Bicycle,Transport_Walked,Transport_Other,Transport_Worked_at_Home,Employment_Status_Total,Emp_Labor_Force_Total,Emp_Civilian_Labor_Force_Total,Emp_Civilian_Labor_Force_EMPLO,Emp_Civilian_Labor_Force_UNEMP,Emp_Labor_Force_Armed_Forces,Emp_Status_Force_Not_in_Labor_,Median_Household_Income,Race_Total,Race_White,Race_Black,Race_American_Indian_Alaskan,Race_Asian,Race_Native_Hawaiian_Pacific,Race_Other,Race_2_or_more,Race_2_or_more_inc_other,Race_2_or_more_ex_other,Vacant_Housing_Units,Shape__Area,Shape__Length
1,29,99,701300,3,2.90997E+11,Block Group 3,G5030,S,12444958,0,38.1089484,-90.5179031,15000US290997013003,74,527,21,2,43,2,61,0,398,23,231,231,191,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,240,240,231,9,0,191,52500,529,519,10,0,0,0,0,0,0,0,8,0.001278395,0.212473162
2,29,99,700302,1,2.90997E+11,Block Group 1,G5030,S,7863848,169289,38.4482181,-90.562304,15000US290997003021,349,2475,117,161,37,26,174,79,1881,278,1342,1320,1153,167,148,0,19,0,0,0,0,0,0,0,0,0,0,0,13,0,9,2032,1447,1447,1346,101,0,585,63194,2496,2462,0,5,6,0,0,23,0,23,84,0.000828993,0.128991133
3,29,99,700802,1,2.90997E+11,Block Group 1,G5030,S,9622916,0,38.2499228,-90.4161419,15000US290997008021,269,2844,396,101,100,77,62,54,2054,497,1241,1163,1124,39,39,0,0,0,0,0,0,0,0,0,0,6,7,0,21,0,44,1882,1323,1314,1255,59,9,559,65573,2844,2498,133,0,32,0,0,181,0,181,36,0.000990387,0.197605193
4,29,99,700504,2,2.90997E+11,Block Group 2,G5030,S,3852358,0,38.357707,-90.6341032,15000US290997005042,117,1245,17,96,20,42,47,0,1023,113,560,560,517,43,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,634,634,579,55,0,369,68603,1245,1235,0,0,10,0,0,0,0,0,59,0.000397063,0.101180263
5,29,99,701200,2,2.90997E+11,Block Group 2,G5030,S,1581170,0,38.1475271,-90.565418,15000US290997012002,47,794,151,0,97,0,90,0,456,151,296,286,205,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,643,347,347,296,51,0,296,38527,794,705,32,0,0,0,0,57,0,57,88,0.000162508,0.080202717
6,29,99,700604,3,2.90997E+11,Block Group 3,G5030,S,12078673,36147,38.2682316,-90.5399521,15000US290997006043,62,1138,154,0,0,66,102,0,816,154,676,649,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,990,708,708,676,32,0,282,49432,1138,1138,0,0,0,0,0,0,0,0,48,0.001247144,0.162396385
7,29,99,701101,2,2.90997E+11,Block Group 2,G5030,S,52094521,26519,38.1881717,-90.6259761,15000US290997011012,165,1562,29,14,148,45,173,18,1135,43,665,610,599,11,0,11,0,0,0,0,0,0,0,0,0,0,10,0,0,2,43,1177,723,723,685,38,0,454,64306,1568,1509,46,0,0,0,0,13,0,13,35,0.005359486,0.445748732
8,29,99,700601,2,2.90997E+11,Block Group 2,G5030,S,13652669,1650189,38.3130418,-90.3910176,15000US290997006012,119,2403,2,234,61,129,17,79,1881,236,1142,1142,1123,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,1216,1216,1142,74,0,495,57976,2403,2361,0,0,0,0,9,33,0,33,0,0.001576349,0.195755957
9,29,99,700605,3,2.90997E+11,Block Group 3,G5030,S,8416355,52063,38.2660499,-90.4303197,15000US290997006053,126,2215,115,113,75,375,37,17,1483,228,1128,1095,985,110,83,12,0,0,15,0,0,0,0,0,0,0,0,0,0,20,13,1818,1286,1286,1128,158,0,532,63382,2215,2018,122,14,0,0,0,61,50,11,47,0.00087161,0.228377874
10,29,99,700402,1,2.90997E+11,Block Group 1,G5030,S,62141427,1048951,38.4252618,-90.6963262,15000US290997004021,292,3007,14,9,2,257,30,137,2558,23,1723,1635,1518,117,94,23,0,0,0,0,0,0,0,0,0,0,31,0,2,0,55,2377,1851,1851,1803,48,0,526,91667,3008,2909,19,0,10,0,0,70,40,30,62,0.006518948,0.439362896
11,29,99,700113,1,2.90997E+11,Block Group 1,G5030,S,6595587,7802,38.4317954,-90.4355492,15000US290997001131,129,1239,0,132,41,9,143,19,895,132,549,543,530,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1107,633,633,560,73,0,474,60327,1247,1236,0,0,11,0,0,0,0,0,86,0.000681334,0.119406603
12,29,99,700207,2,2.90997E+11,Block Group 2,G5030,S,5497148,33960,38.4373363,-90.5327024,15000US290997002072,169,1956,166,346,91,122,58,20,1153,512,784,772,699,73,28,37,0,0,8,0,0,0,0,0,0,0,7,0,0,0,5,1612,907,907,816,91,0,705,50370,1956,1943,0,0,0,0,13,0,0,0,36,0.000570716,0.115764335
13,29,99,701200,6,2.90997E+11,Block Group 6,G5030,S,14739872,49243,38.1083728,-90.590486,15000US290997012006,71,1429,199,72,19,167,17,18,937,271,568,544,509,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1075,726,726,568,158,0,349,55263,1475,1405,0,0,0,0,70,0,0,0,83,0.001519212,0.183871387
14,29,55,450200,2,2.90555E+11,Block Group 2,G5030,S,295644771,402438,38.0136775,-91.1971294,15000US290554502002,92,1137,40,46,143,87,84,17,720,86,465,407,358,49,32,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,58,960,556,556,485,71,0,404,50208,1167,1107,0,0,0,0,0,60,0,60,344,0.030369201,0.88084291
15,29,55,450102,1,2.90555E+11,Block Group 1,G5030,S,116316582,0,38.1312062,-91.1619095,15000US290554501021,126,1099,64,117,90,30,33,7,758,181,473,463,452,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,964,515,515,480,35,0,449,40625,1099,1083,13,0,3,0,0,0,0,0,151,0.011952081,0.535366675
16,29,55,450102,4,2.90555E+11,Block Group 4,G5030,S,30576573,0,38.189178,-91.1561411,15000US290554501024,129,2031,206,263,212,331,143,0,876,469,689,661,556,105,96,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,1549,874,874,741,133,0,675,31145,2081,1951,3,0,17,0,0,110,0,110,90,0.003144341,0.316391299
17,29,189,221502,2,2.91892E+11,Block Group 2,G5030,S,7095099,0,38.5107442,-90.6578514,15000US291892215022,221,2744,58,36,22,48,67,13,2500,94,1351,1151,1137,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,38,10,152,2198,1429,1429,1384,45,0,769,81875,2863,2733,20,0,89,0,0,21,0,21,79,0.000732819,0.160364275
18,29,189,221628,3,2.91892E+11,Block Group 3,G5030,S,2073151,0,38.6439875,-90.5790199,15000US291892216283,169,2922,1,17,136,93,89,0,2586,18,1693,1641,1618,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,36,2542,1832,1832,1740,92,0,710,86071,2922,2360,22,0,426,0,17,97,0,97,0,0.000214517,0.091721012
19,29,99,700401,2,2.90997E+11,Block Group 2,G5030,S,26634337,11703,38.3550564,-90.7121441,15000US290997004012,104,1201,21,104,35,18,115,25,883,125,589,563,465,98,88,0,0,10,0,0,0,0,0,0,0,0,0,0,8,10,8,1019,659,659,589,70,0,360,51875,1222,1222,0,0,0,0,0,0,0,0,54,0.002746514,0.294622884
20,29,189,211500,2,2.91892E+11,Block Group 2,G5030,S,418451,0,38.762889,-90.3280929,15000US291892115002,73,1297,175,159,37,168,293,0,465,334,452,384,384,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,974,666,666,491,175,0,308,34792,1297,189,1108,0,0,0,0,0,0,0,36,4.34E-05,0.041647867
21,29,189,213202,5,2.91892E+11,Block Group 5,G5030,S,1343575,0,38.7297447,-90.4410234,15000US291892132025,158,2393,57,425,35,38,42,15,1781,482,1231,1198,1004,194,56,53,85,0,0,3,3,0,0,0,0,0,0,0,0,0,30,2162,1474,1474,1253,221,0,688,48661,2571,2115,439,0,17,0,0,0,0,0,0,0.000139189,0.065975396
22,29,189,214300,3,2.91892E+11,Block Group 3,G5030,S,908796,0,38.6969405,-90.3341704,15000US291892143003,144,999,97,206,36,108,27,25,500,303,368,314,205,109,100,9,0,0,0,29,29,0,0,0,0,0,0,0,3,0,22,780,461,453,377,76,8,319,26250,1056,337,659,0,0,0,31,29,0,29,157,9.41E-05,0.042505898
23,29,189,214200,3,2.91892E+11,Block Group 3,G5030,S,2740404,0,38.6862481,-90.3177294,15000US291892142003,220,1962,395,335,100,104,213,96,719,730,776,731,692,39,39,0,0,0,0,14,14,0,0,0,0,0,0,7,0,0,24,1524,1058,1058,795,263,0,466,29609,2034,139,1863,0,0,0,0,32,0,32,160,0.000283725,0.085718077
24,29,189,211700,1,2.91892E+11,Block Group 1,G5030,S,2241484,0,38.7665966,-90.2912865,15000US291892117001,97,1394,86,24,0,77,51,32,1124,110,694,657,550,107,107,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,12,1147,754,754,710,44,0,393,69965,1397,464,888,0,0,0,0,45,0,45,44,0.000232326,0.07397474
25,29,189,213800,1,2.91892E+11,Block Group 1,G5030,S,273029,0,38.6979492,-90.2914695,15000US291892138001,174,637,54,64,108,29,59,16,307,118,243,188,177,11,9,2,0,0,0,22,22,0,0,0,0,0,0,0,10,23,0,540,334,334,246,88,0,206,36938,637,24,604,0,0,0,0,9,0,9,75,2.83E-05,0.021569445
26,29,189,216500,1,2.91892E+11,Block Group 1,G5030,S,463030,0,38.6553505,-90.3459248,15000US291892165001,68,599,10,0,0,0,0,18,571,10,227,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,451,270,270,251,19,0,181,122375,599,590,9,0,0,0,0,0,0,0,31,4.79E-05,0.037023268
27,29,189,217852,2,2.91892E+11,Block Group 2,G5030,S,3148494,0,38.6181145,-90.5644866,15000US291892178522,204,2343,61,0,0,12,0,0,2270,61,956,863,788,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,67,1992,1015,1015,956,59,0,977,151161,2507,2278,25,7,144,0,0,53,0,53,81,0.000325671,0.084081854
28,29,189,220502,4,2.91892E+11,Block Group 4,G5030,S,787987,0,38.5072011,-90.2964997,15000US291892205024,72,1475,15,23,37,0,139,48,1213,38,816,638,489,149,111,38,0,0,0,0,0,0,0,0,0,0,0,0,19,15,144,1173,872,872,835,37,0,301,73529,1499,1334,104,0,22,0,0,39,0,39,48,8.14E-05,0.03676962
29,29,189,212001,5,2.91892E+11,Block Group 5,G5030,S,543751,0,38.7237573,-90.2579622,15000US291892120015,52,1232,53,60,344,180,146,62,387,113,481,426,397,29,0,29,0,0,0,38,38,0,0,0,0,0,0,0,17,0,0,934,709,709,535,174,0,225,37101,1315,42,1256,17,0,0,0,0,0,0,0,5.63E-05,0.034057871
30,29,189,217802,4,2.91892E+11,Block Group 4,G5030,S,1519585,0,38.6007362,-90.5213917,15000US291892178024,103,1708,0,23,0,12,15,100,1558,23,940,929,888,41,41,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,1388,1036,1036,940,96,0,352,84145,1708,1530,38,0,140,0,0,0,0,0,11,0.000157144,0.065606389
31,29,189,221503,2,2.91892E+11,Block Group 2,G5030,S,19989422,325627,38.4827332,-90.6661412,15000US291892215032,295,4375,78,318,14,17,183,106,3659,396,1944,1784,1757,27,16,0,0,11,0,26,12,0,0,0,14,0,0,0,0,12,122,3020,2144,2144,1980,164,0,876,116667,4397,3910,28,0,152,32,167,108,0,108,121,0.002097422,0.287921523
32,29,189,210804,2,2.91892E+11,Block Group 2,G5030,S,3464844,34587,38.8069158,-90.2465259,15000US291892108042,122,2545,143,71,170,12,275,36,1838,214,1181,1116,998,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2190,1559,1559,1315,244,0,631,53281,2773,260,2363,0,0,0,0,150,0,150,78,0.0003629,0.097685156
33,29,189,219900,1,2.91892E+11,Block Group 1,G5030,S,285084,0,38.5590856,-90.2966518,15000US291892199001,64,1314,74,42,0,239,14,26,919,116,482,470,379,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1019,647,647,543,104,0,372,55566,1314,1085,0,0,229,0,0,0,0,0,89,2.95E-05,0.022145497
34,29,189,210502,4,2.91892E+11,Block Group 4,G5030,S,371662,0,38.7546943,-90.249167,15000US291892105024,33,467,70,41,8,55,30,0,263,111,142,90,90,0,0,0,0,0,0,30,30,0,0,0,0,0,0,9,0,0,13,403,172,172,142,30,0,231,32083,467,46,386,0,0,0,0,35,0,35,117,3.85E-05,0.031956699
35,29,189,210502,2,2.91892E+11,Block Group 2,G5030,S,317628,0,38.7524731,-90.2453095,15000US291892105022,40,573,80,224,95,0,52,0,122,304,129,129,82,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,153,153,142,11,0,158,32024,579,43,490,0,0,0,0,46,0,46,123,3.29E-05,0.026067256
36,29,189,210502,3,2.91892E+11,Block Group 3,G5030,S,470952,0,38.7467659,-90.244366,15000US291892105023,117,1176,136,141,212,45,49,8,585,277,437,378,314,64,46,0,18,0,0,59,59,0,0,0,0,0,0,0,0,0,0,886,509,509,437,72,0,377,34286,1176,79,1090,0,0,0,0,7,0,7,105,4.88E-05,0.034462319
37,29,189,210502,1,2.91892E+11,Block Group 1,G5030,S,778978,0,38.747645,-90.250648,15000US291892105021,60,541,70,60,0,18,29,68,296,130,214,166,117,49,49,0,0,0,0,9,9,0,0,0,0,0,0,0,39,0,0,451,226,226,214,12,0,225,41607,541,33,473,0,0,0,0,35,0,35,0,8.07E-05,0.061821377
38,29,189,221335,1,2.91892E+11,Block Group 1,G5030,S,929028,0,38.4880459,-90.3739054,15000US291892213351,58,825,24,0,0,13,67,72,649,24,390,390,367,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,406,406,390,16,0,243,61944,825,787,0,0,38,0,0,0,0,0,29,9.59E-05,0.048850102
39,29,189,221626,1,2.91892E+11,Block Group 1,G5030,S,4986412,0,38.6136445,-90.6260587,15000US291892216261,231,2674,0,40,22,0,0,7,2605,40,1346,1223,1172,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,116,1963,1414,1414,1356,58,0,549,128864,2674,2556,40,0,65,0,0,13,0,13,8,0.000515748,0.114935257
40,29,189,210100,2,2.91892E+11,Block Group 2,G5030,S,2197206,0,38.7858215,-90.1912753,15000US291892101002,68,1677,77,826,0,38,192,27,517,903,523,520,491,29,4,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,974,666,666,523,143,0,308,27813,1696,579,1096,1,4,0,0,16,1,15,96,0.000227798,0.079521959
41,29,189,210200,1,2.91892E+11,Block Group 1,G5030,S,1373183,0,38.7585941,-90.2122038,15000US291892102001,64,1392,111,134,152,159,217,46,573,245,566,353,223,130,130,0,0,0,0,213,213,0,0,0,0,0,0,0,0,0,0,1009,656,656,566,90,0,353,29074,1392,236,1156,0,0,0,0,0,0,0,29,0.000142313,0.071600231
42,29,219,820202,4,2.92198E+11,Block Group 4,G5030,S,87049886,1058972,38.6820921,-91.114816,15000US292198202024,55,856,0,62,30,79,58,35,592,62,451,428,385,43,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,748,481,481,451,30,0,267,42857,856,856,0,0,0,0,0,0,0,0,125,0.009122813,0.476387098
43,29,219,820101,2,2.92198E+11,Block Group 2,G5030,S,28020801,419107,38.8375744,-91.1060934,15000US292198201012,192,3322,306,867,144,54,113,144,1694,1173,1312,1230,1029,201,176,0,0,0,25,13,13,0,0,0,0,0,0,0,0,56,13,2603,1521,1521,1392,129,0,1082,38594,3398,3156,183,0,18,0,0,41,0,41,183,0.002950924,0.233426181
44,29,219,820201,2,2.92198E+11,Block Group 2,G5030,S,58085283,1376488,38.7348647,-91.0041233,15000US292198202012,241,1515,103,41,212,31,65,47,1016,144,657,634,612,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1301,738,738,675,63,0,563,52969,1515,1471,18,0,0,0,8,18,0,18,731,0.006160353,0.419294985
45,29,219,820202,5,2.92198E+11,Block Group 5,G5030,S,96273807,4631349,38.6182688,-90.9987019,15000US292198202025,108,2253,7,89,33,225,293,183,1423,96,1006,820,803,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,91,29,66,1941,1117,1117,1024,93,0,824,53594,2253,2251,2,0,0,0,0,0,0,0,258,0.010438646,0.627530778
46,29,189,217842,3,2.91892E+11,Block Group 3,G5030,S,1516393,0,38.6398719,-90.5309557,15000US291892178423,72,1291,24,0,0,0,22,187,1058,24,536,488,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,1013,548,548,536,12,0,465,100179,1291,1273,0,0,18,0,0,0,0,0,0,0.000156898,0.05879562
47,29,189,211331,5,2.91892E+11,Block Group 5,G5030,S,332954,0,38.7922147,-90.3485655,15000US291892113315,42,1043,14,57,38,108,53,0,773,71,600,533,533,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,53,0,0,896,668,668,600,68,0,228,39973,1085,1036,0,0,0,0,0,49,0,49,0,3.45E-05,0.024096766
48,29,189,217500,3,2.91892E+11,Block Group 3,G5030,S,5569561,0,38.6194559,-90.3921355,15000US291892175003,233,1657,3,0,14,6,24,12,1598,3,634,605,600,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,1137,671,671,649,22,0,466,137250,1657,1567,0,10,80,0,0,0,0,0,20,0.00057611,0.153755591
49,29,189,217701,3,2.91892E+11,Block Group 3,G5030,S,4242286,0,38.6083862,-90.4643113,15000US291892177013,100,1144,152,0,0,0,64,0,928,152,492,469,435,34,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,977,527,527,492,35,0,450,119286,1144,853,86,0,177,0,0,28,0,28,0,0.000438751,0.120873247
50,29,189,215141,1,2.91892E+11,Block Group 1,G5030,S,4537251,1466905,38.706999,-90.4832604,15000US291892151411,148,1370,8,10,15,7,62,7,1261,18,771,678,672,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1205,824,824,787,37,0,381,103041,1426,1262,39,0,125,0,0,0,0,0,7,0.00062183,0.121081992
51,29,189,221202,3,2.91892E+11,Block Group 3,G5030,S,6544101,173635,38.5111478,-90.3999318,15000US291892212023,150,1947,34,34,16,32,134,45,1652,68,802,753,702,51,21,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1851,823,823,823,0,0,1028,66779,2089,2081,8,0,0,0,0,0,0,0,169,0.00069385,0.148862854
52,29,189,215600,1,2.91892E+11,Block Group 1,G5030,S,2987096,0,38.683341,-90.3973471,15000US291892156001,124,1581,167,66,19,64,245,18,1002,233,778,733,683,50,50,0,0,0,0,12,12,0,0,0,0,0,0,0,11,0,22,1100,833,833,778,55,0,267,54931,1660,663,629,0,203,0,0,165,0,165,84,0.000309253,0.105838413
53,29,189,212600,5,2.91892E+11,Block Group 5,G5030,S,413673,0,38.7486154,-90.3167919,15000US291892126005,40,823,258,171,0,0,0,0,394,429,219,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,318,307,208,99,11,183,,823,84,732,0,0,0,7,0,0,0,23,4.29E-05,0.029511827
54,29,189,218800,5,2.91892E+11,Block Group 5,G5030,S,512525,0,38.5884576,-90.3887971,15000US291892188005,65,999,0,0,18,13,0,0,968,0,480,399,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,742,489,489,480,9,0,253,101613,999,999,0,0,0,0,0,0,0,0,0,5.30E-05,0.033149462
55,29,189,210200,3,2.91892E+11,Block Group 3,G5030,S,354741,0,38.7536739,-90.2046391,15000US291892102003,54,1794,401,236,48,182,265,0,662,637,647,509,413,96,85,0,11,0,0,92,92,0,0,0,0,0,0,0,46,0,0,1040,857,857,647,210,0,183,30625,1794,47,1747,0,0,0,0,0,0,0,145,3.68E-05,0.026249796
56,29,189,210200,4,2.91892E+11,Block Group 4,G5030,S,328192,0,38.7532614,-90.1984354,15000US291892102004,36,882,52,332,0,185,16,0,297,384,201,201,182,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,351,351,201,150,0,92,33722,882,215,667,0,0,0,0,0,0,0,0,3.40E-05,0.030860058
57,29,189,210300,1,2.91892E+11,Block Group 1,G5030,S,405774,0,38.7494943,-90.2145158,15000US291892103001,88,873,24,250,116,40,94,0,349,274,383,361,326,35,35,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,679,506,506,441,65,0,173,25521,873,221,521,0,0,0,0,131,0,131,17,4.20E-05,0.038720198
58,29,189,220444,2,2.91892E+11,Block Group 2,G5030,S,3822584,175862,38.4511389,-90.3285354,15000US291892204442,147,2334,16,61,0,0,71,0,2186,77,1190,1096,983,113,92,21,0,0,0,15,15,0,0,0,0,0,0,0,0,0,79,1944,1243,1243,1190,53,0,701,120000,2334,2315,0,0,19,0,0,0,0,0,0,0.000412617,0.140865919
59,29,189,222100,3,2.91892E+11,Block Group 3,G5030,S,1948332,0,38.5713333,-90.626574,15000US291892221003,296,2680,15,19,36,96,88,0,2426,34,1459,1391,1298,93,56,37,0,0,0,8,0,0,8,0,0,0,0,0,0,20,40,2034,1542,1542,1482,60,0,492,121528,2709,2583,23,6,66,0,0,31,10,21,128,0.000201401,0.07195162
60,29,189,212001,6,2.91892E+11,Block Group 6,G5030,S,819512,0,38.7287632,-90.2619372,15000US291892120016,62,1475,327,63,43,0,156,41,845,390,555,424,375,49,49,0,0,0,0,76,76,0,0,0,0,44,0,0,0,0,11,1046,757,746,580,166,11,289,35769,1475,245,1230,0,0,0,0,0,0,0,275,8.49E-05,0.041549521
61,29,189,210501,2,2.91892E+11,Block Group 2,G5030,S,1010815,0,38.7662578,-90.2567313,15000US291892105012,130,1832,25,7,40,65,73,56,1566,32,791,773,677,96,67,29,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,1548,840,840,818,22,0,708,59722,1832,181,1571,6,56,0,0,18,0,18,93,0.000104769,0.052220234
62,29,189,210925,1,2.91892E+11,Block Group 1,G5030,S,981412,8907,38.8035588,-90.3228754,15000US291892109251,71,1696,19,46,25,280,186,55,1085,65,868,845,788,57,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1238,1007,1007,882,125,0,231,36107,1696,708,930,0,0,0,0,58,0,58,161,0.000102696,0.042014362
63,29,189,212700,5,2.91892E+11,Block Group 5,G5030,S,1523824,9653,38.7277532,-90.3158881,15000US291892127005,7,275,0,19,0,0,0,0,256,19,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,98,98,98,0,0,124,57623,275,228,47,0,0,0,0,0,0,0,41,0.000158857,0.076231324
64,29,189,219200,1,2.91892E+11,Block Group 1,G5030,S,1032774,0,38.5936361,-90.3537973,15000US291892192001,271,1382,70,46,35,55,23,11,1142,116,689,627,604,23,6,17,0,0,0,13,4,0,9,0,0,0,0,6,21,3,19,1068,717,717,701,16,0,351,110956,1446,1276,124,0,17,0,0,29,0,29,0,0.000106791,0.046655468
65,29,183,311146,1,2.91833E+11,Block Group 1,G5030,S,737609,0,38.7396392,-90.5424385,15000US291833111461,88,1115,0,0,30,0,30,13,1042,0,667,667,607,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,704,704,704,0,0,264,106667,1125,1032,52,0,14,0,0,27,0,27,0,7.64E-05,0.042915346
66,29,189,220200,1,2.91892E+11,Block Group 1,G5030,S,571758,0,38.5388153,-90.2746004,15000US291892202001,49,768,0,90,108,31,15,45,479,90,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,372,372,326,46,0,353,40962,813,747,66,0,0,0,0,0,0,0,131,5.91E-05,0.04427522
67,29,189,219900,5,2.91892E+11,Block Group 5,G5030,S,831921,0,38.5477755,-90.3009791,15000US291892199005,89,1675,14,0,130,161,278,80,1012,14,774,750,506,244,0,244,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,1480,900,900,851,49,0,580,50917,1675,1112,0,0,407,0,111,45,0,45,0,8.60E-05,0.047849672
68,29,189,220200,5,2.91892E+11,Block Group 5,G5030,S,634494,0,38.5340391,-90.2815695,15000US291892202005,97,2148,143,96,91,60,434,7,1317,239,849,803,803,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,32,0,0,1644,974,974,849,125,0,670,43958,2148,1947,108,0,0,0,15,78,0,78,31,6.56E-05,0.035764216
69,29,189,220300,1,2.91892E+11,Block Group 1,G5030,S,5558256,1546901,38.5042196,-90.281959,15000US291892203001,310,1905,300,226,72,156,177,88,886,526,910,836,731,105,83,22,0,0,0,41,41,0,0,0,0,0,0,0,19,6,8,1597,1027,1022,927,95,5,570,32475,2033,1664,287,4,17,0,6,55,0,55,62,0.000733789,0.119898764
70,29,189,217702,4,2.91892E+11,Block Group 4,G5030,S,1349463,0,38.6077951,-90.5025835,15000US291892177024,103,1827,46,0,18,134,96,0,1533,46,812,715,680,35,35,0,0,0,0,17,17,0,0,0,0,0,16,0,0,0,64,1475,812,812,812,0,0,663,106180,1827,1606,42,0,179,0,0,0,0,0,72,0.000139565,0.062541668
71,29,189,210100,3,2.91892E+11,Block Group 3,G5030,S,33714099,4961325,38.8035235,-90.1579182,15000US291892101003,101,1951,127,10,60,126,60,96,1472,137,832,794,735,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1519,1104,1104,848,256,0,415,56779,2119,585,1513,0,0,0,16,5,0,5,139,0.004010874,0.332699385
72,29,189,210912,3,2.91892E+11,Block Group 3,G5030,S,14922615,715370,38.8281967,-90.2621229,15000US291892109123,127,2089,88,270,0,13,102,1,1615,358,1169,1093,977,116,116,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,69,1713,1248,1248,1181,67,0,465,76780,2089,892,1092,0,0,0,71,34,0,34,30,0.001622403,0.186244046
73,29,189,217702,3,2.91892E+11,Block Group 3,G5030,S,4597518,0,38.6147325,-90.4908278,15000US291892177023,52,924,0,1,18,0,0,0,905,1,449,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,749,449,449,449,0,0,300,136136,924,895,0,0,28,0,0,1,1,0,51,0.000475532,0.116325998
74,29,189,210927,2,2.91892E+11,Block Group 2,G5030,S,18643458,4463148,38.8631664,-90.3097739,15000US291892109272,213,2288,36,118,40,0,27,7,2060,154,1219,1103,969,134,129,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,109,1995,1240,1240,1219,21,0,755,93846,2288,1301,952,9,0,0,0,26,0,26,81,0.002398313,0.225462696
75,29,189,218800,3,2.91892E+11,Block Group 3,G5030,S,536968,0,38.5952127,-90.3753078,15000US291892188003,43,612,14,0,0,0,0,0,598,14,335,290,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,516,349,336,322,14,13,167,155500,612,589,23,0,0,0,0,0,0,0,0,5.55E-05,0.039405925
